ucid,oem,model,vid,ic,sid,dvn,pu,pn,km,myear,city,loc,ceid,regplace,owner,cc,bt,insurance,utype,active,did,ip,inp,ft,transmission,reason,p_numeric,pi,vlink,views,ud,it,webp_image,ftc
2939971,Maruti,Maruti Wagon R,Maruti Wagon R LXI CNG Avance Edition,13,E30BE251A67F24D58CDE02069F2E0842,Maruti Wagon R LXI CNG Avance Edition,5.15 Lakh,5.96-6.03 Lakh,"22,000",2019,Thane,Thane West,0,Thane (reg),1,998,Hatchback,Comprehensive,Dealer,0,209860,0,0,CNG,Manual,,515000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2143245_1609225225.jpg,/used-car-details/used-Maruti-Wagon-R-LXI-CNG-Avance-Edition-cars-Thane_E30BE251A67F24D58CDE02069F2E0842.htm,99,Jan 06,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2143245_1609225225.webp,0
2933429,Maruti,Maruti Swift 2011-2014,Maruti Swift 2011-2014 ZDi,12,F5947AC26971BC93BDA90C04D8FE6723,Maruti Swift ZDi,4.5 Lakh,,"52,000",2014,Mumbai,Borivali West,0,Thane (reg),1,1248,Hatchback,No Insurance,Dealer,0,185333,0,1,Diesel,Manual,Not Informed,450000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2145809_1609456295.jpg,/used-car-details/used-Maruti-Swift-2011-2014-ZDi-cars-Mumbai_F5947AC26971BC93BDA90C04D8FE6723.htm,394,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2145809_1609456295.webp,0
2935159,Maruti,Maruti Swift Dzire,Maruti Swift Dzire VXI AT,15,001953EC2839C0C38571726AA21B99D4,Maruti Dzire VXI AT,4.11 Lakh,6.88-10.20 Lakh,"24,000",2012,Mumbai,Santacruz West,0,Mumbai (reg),1,1197,Sedans,Comprehensive,Dealer,0,198484,0,0,Petrol,Automatic,,411000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2146942_1609584921.jpg,/used-car-details/used-Maruti-Swift-Dzire-VXI-AT-cars-Mumbai_001953EC2839C0C38571726AA21B99D4.htm,362,Jan 05,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2146942_1609584921.webp,0
2934633,Honda,Honda Mobilio,Honda Mobilio S i-DTEC,16,ED213F60219BDAE4397AB82CBCAA2D5B,Honda Mobilio S i DTEC,4.9 Lakh,,"40,000",2015,Mumbai,Powai,0,Mumbai (reg),1,1498,MUV,Comprehensive,Dealer,0,214952,0,0,Diesel,Manual,,490000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2146529_1609570559.jpg,/used-car-details/used-Honda-Mobilio-S-i-DTEC-cars-Mumbai_ED213F60219BDAE4397AB82CBCAA2D5B.htm,321,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2146529_1609570559.webp,0
2941283,Maruti,Maruti Swift Dzire 2011-2014,Maruti Swift Dzire 2011-2014 VXI,16,BDEEF0C7CBB99707A70BAA74D9FEDA71,Maruti Swift Dzire VXI,4.3 Lakh,6.88-10.20 Lakh,"44,302",2014,Mumbai,Vikhroli,0,panvel (reg),1,1197,Sedans,No Insurance,Dealer,0,203559,0,0,Petrol,Manual,,430000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2151044_1610005752.jpg,/used-car-details/used-Maruti-Swift-Dzire-2011-2014-VXI-cars-Mumbai_BDEEF0C7CBB99707A70BAA74D9FEDA71.htm,53,Jan 07,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2151044_1610005752.webp,0
2927192,Maruti,Maruti Wagon R,Maruti Wagon R VXI AMT Opt,16,7B49383FFE8BE81460BFEC7230E59E0A,Maruti Wagon R VXI AMT Opt,4.45 Lakh,5.26-7.02 Lakh,"17,000",2018,Mumbai,Borivali West,0,Thane (reg),1,998,Hatchback,No Insurance,Dealer,0,161766,0,0,Petrol,Automatic,,445000,https://images10.gaadicdn.com/usedcar_image/320x240/usedcar_dscn0008_1541608981611_1608981626.JPG,/used-car-details/used-Maruti-Wagon-R-VXI-AMT-Opt-cars-Mumbai_7B49383FFE8BE81460BFEC7230E59E0A.htm,789,Dec 26,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/usedcar_dscn0008_1541608981611_1608981626.webp,0
2867737,Maruti,Maruti Swift,Maruti Swift VXI Optional,14,9ED0A05E09732E3A8065A545AF0F3943,Maruti Swift VXI Optional,5 Lakh,6.08-9.30 Lakh,"14,000",2017,Mumbai,Borivali West,0,Thane (reg),1,1197,Hatchback,Comprehensive,Dealer,0,161766,0,59,Petrol,Manual,Not Informed,500000,https://images10.gaadicdn.com/usedcar_image/320x240/usedcar_dscn0285_2104414_1605101557.JPG,/used-car-details/used-Maruti-Swift-VXI-Optional-cars-Mumbai_9ED0A05E09732E3A8065A545AF0F3943.htm,1550,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/usedcar_dscn0285_2104414_1605101557.webp,0
2940680,Mitsubishi,Mitsubishi Outlander 2007-2013,Mitsubishi Outlander 2007-2013 2.4,9,6FBCCC657E4C81A2F666D6FF6B3D2B56,Mitsubishi Outlander 2.4,4.25 Lakh,,"58,000",2009,Mumbai,Kandivali West,0,Mumbai (reg),1,2360,Sport Utilities,Comprehensive,Dealer,0,185398,0,0,Petrol,Automatic,,425000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2150664_1609941703.jpg,/used-car-details/used-Mitsubishi-Outlander-2007-2013-2.4-cars-Mumbai_6FBCCC657E4C81A2F666D6FF6B3D2B56.htm,126,Jan 06,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2150664_1609941703.webp,0
2941798,Maruti,Maruti Celerio 2014-2017,Maruti Celerio 2014-2017 ZXI AT,8,481BA2C24E18063CD7FB3C25AE8CDFA8,Maruti Celerio ZXI AT,3.8 Lakh,5.20-6.54 Lakh,"52,000",2015,Mumbai,Mulund East,0,vasai (reg),1,998,Hatchback,Third Party,Dealer,0,204683,0,0,Petrol,Automatic,,380000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2151547_1610022070.jpg,/used-car-details/used-Maruti-Celerio-2014-2017-ZXI-AT-cars-Mumbai_481BA2C24E18063CD7FB3C25AE8CDFA8.htm,15,Jan 07,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2151547_1610022070.webp,0
2941161,Maruti,Maruti Celerio 2014-2017,Maruti Celerio 2014-2017 ZXI AT,19,B569C0D2B6694FC85327259CE50C01E8,Maruti Celerio ZXI AT,4.35 Lakh,5.20-6.54 Lakh,"10,500",2015,Mumbai,Borivali West,0,Mumbai (reg),1,998,Hatchback,Comprehensive,Dealer,0,185397,0,0,Petrol,Automatic,,435000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2150930_1610002106.jpg,/used-car-details/used-Maruti-Celerio-2014-2017-ZXI-AT-cars-Mumbai_B569C0D2B6694FC85327259CE50C01E8.htm,12,Jan 07,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2150930_1610002106.webp,0
2880840,Fiat,Fiat Punto,Fiat Punto 1.3 Emotion,13,5BE9502D899A835930751325D816A549,Fiat Punto 1.3 Emotion,3.85 Lakh,,"35,000",2014,Mumbai,Andheri West,0,Mumbai (reg),1,Not Available,Hatchback,Comprehensive,Dealer,0,147322,0,0,Diesel,Manual,,385000,https://images10.gaadicdn.com/usedcar_image/320x240/usedcar_dsc08539_2112114_1606819228.JPG,/used-car-details/used-Fiat-Punto-1.3-Emotion-cars-Mumbai_5BE9502D899A835930751325D816A549.htm,1304,Dec 27,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/usedcar_dsc08539_2112114_1606819228.webp,0
2933745,Honda,Honda Brio,Honda Brio 1.2 S MT,12,D76038266559B5C94DC604F45A292EC2,Honda Brio 1.2 S MT,2.75 Lakh,,"68,000",2014,Mumbai,Kandivali West,0,Mumbai (reg),2,1198,Hatchback,Comprehensive,Dealer,0,185385,0,0,Petrol,Manual,,275000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2145995_1609578749.jpg,/used-car-details/used-Honda-Brio-1.2-S-MT-cars-Mumbai_D76038266559B5C94DC604F45A292EC2.htm,204,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2145995_1609578749.webp,0
2937748,Honda,Honda City 2008-2011,Honda City 2008-2011 1.5 S MT,12,389456CC02782B40A442A6A67578DB85,Honda City 1.5 S MT,2.65 Lakh,12.90-16.99 Lakh,"79,852",2010,Mumbai,Antop Hill,0,Mumbai (reg),1,1497,Sedans,Third Party,Dealer,0,188339,0,0,Petrol,Manual,,265000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2148135_1609750568.jpg,/used-car-details/used-Honda-City-2008-2011-1.5-S-MT-cars-Mumbai_389456CC02782B40A442A6A67578DB85.htm,95,Jan 04,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2148135_1609750568.webp,0
2819174,Maruti,Maruti Swift 2011-2014,Maruti Swift 2011-2014 VXI,13,101F07E0889A388F3CBDE18E2E2C6A02,Maruti Swift VXI,3.5 Lakh,6.08-9.30 Lakh,"32,000",2011,Mumbai,Powai,0,Mumbai (reg),1,1197,Hatchback,Comprehensive,Dealer,0,192161,0,0,Petrol,Manual,,350000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2073226_1601162766.jpg,/used-car-details/used-Maruti-Swift-2011-2014-VXI-cars-Mumbai_101F07E0889A388F3CBDE18E2E2C6A02.htm,1782,Sep 27,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_2073226_1601162766.webp,0
2932821,Skoda,Skoda Octavia,Skoda Octavia 1.8 TSI AT L K,25,CE819B64F73CA70B69B036A977996135,Skoda Octavia 1.8 TSI AT L K,19.49 Lakh,45.69 Lakh,"17,000",2018,Mumbai,Borivali West,0,Mumbai (reg),1,1798,Sedans,Comprehensive,Dealer,0,187195,0,0,Petrol,Automatic,,1949000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2145233_1609404270.jpg,/used-car-details/used-Skoda-Octavia-1.8-TSI-AT-L-K-cars-Mumbai_CE819B64F73CA70B69B036A977996135.htm,259,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_2145233_1609404270.webp,0
2938835,Jeep,Jeep Compass,Jeep Compass Black Pack Edition,17,403858A8030E76BE0AC54BC03F2FD418,Jeep Compass Black Pack Edition,15.12 Lakh,19.60-26.16 Lakh,"17,485",2017,Mumbai,Matunga West,0,Aurangabad (reg),1,1368,SUV,Comprehensive,Dealer,0,187024,0,0,Petrol,Automatic,,1512000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2149190_1609835651.jpg,/used-car-details/used-Jeep-Compass-Black-Pack-Edition-cars-Mumbai_403858A8030E76BE0AC54BC03F2FD418.htm,330,Jan 05,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2149190_1609835651.webp,0
2930992,Kia,Kia Seltos,Kia Seltos GTX Plus DCT,11,28FA02123FD8F85D2C59BFBF913F37BE,Kia Seltos GTX Plus DCT,19.5 Lakh,11.45-20.24 Lakh,"2,000",2020,Mumbai,Andheri West,0,Mumbai (reg),1,1353,SUV,Comprehensive,Dealer,0,220271,0,0,Petrol,Automatic,,1950000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2143874_1609251293.jpg,/used-car-details/used-Kia-Seltos-GTX-Plus-DCT-cars-Mumbai_28FA02123FD8F85D2C59BFBF913F37BE.htm,340,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_2143874_1609251293.webp,0
,,,,15,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0
2911246,Hyundai,Hyundai Verna 2011-2014,Hyundai Verna 2011-2014 1.6 SX VTVT,15,983B991410F2B2F341C529860B1CB9EA,Hyundai Verna 1.6 SX VTVT,4.65 Lakh,10.63-16.66 Lakh,"32,285",2012,Thane,Thane,1,Thane (reg),1,1591,Sedans,No Insurance,Dealer,0,220534,0,0,Petrol,Manual,Not Informed,465000,https://images10.gaadicdn.com/usedcar_image/320x240/VCC_983797_24_1607934497.jpg,/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-VTVT-cars-Thane_983B991410F2B2F341C529860B1CB9EA.htm,1070,Dec 17,1,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/VCC_983797_24_1607934497.webp,0
2900378,Hyundai,Hyundai Verna 2011-2014,Hyundai Verna 2011-2014 1.6 SX,15,A236CB11A1D8C7A7EA5E9E2649D89126,Hyundai Verna 1.6 SX,5.69 Lakh,13.03-18.31 Lakh,"64,470",2014,Thane,Thane,1,Thane (reg),1,1582,Sedans,No Insurance,Dealer,0,220534,0,0,Diesel,Manual,Not Informed,569000,https://images10.gaadicdn.com/usedcar_image/320x240/VCC_976440_24_1607168304.jpg,/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-cars-Thane_A236CB11A1D8C7A7EA5E9E2649D89126.htm,825,Dec 15,1,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/VCC_976440_24_1607168304.webp,0
2937284,Nissan,Nissan Sunny 2014-2016,Nissan Sunny 2014-2016 XL CVT,15,AE628C32F262BBA451C074EE8CC0279E,Nissan Sunny XL CVT,4.75 Lakh,,"30,754",2014,Thane,Thane,1,Thane (reg),1,1498,Sedans,No Insurance,Dealer,0,220534,0,0,Petrol,Automatic,Not Informed,475000,https://images10.gaadicdn.com/usedcar_image/320x240/VCC_1000771_24_1609751823.jpg,/used-car-details/used-Nissan-Sunny-2014-2016-XL-CVT-cars-Thane_AE628C32F262BBA451C074EE8CC0279E.htm,45,Jan 06,1,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/VCC_1000771_24_1609751823.webp,0
2904152,Hyundai,Hyundai i20 2012-2014,Hyundai i20 2012-2014 Magna,14,9F6C53B1FFF818E3C34396989B9F1C9D,Hyundai i20 Magna,4.45 Lakh,8.09-13.44 Lakh,"7,268",2013,Thane,Thane,1,Thane (reg),1,1197,Hatchback,No Insurance,Dealer,0,220534,0,0,Petrol,Manual,Not Informed,445000,https://images10.gaadicdn.com/usedcar_image/320x240/VCC_978774_24_1607415992.jpg,/used-car-details/used-Hyundai-i20-2012-2014-Magna-cars-Thane_9F6C53B1FFF818E3C34396989B9F1C9D.htm,789,Dec 10,1,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/VCC_978774_24_1607415992.webp,0
2903308,Toyota,Toyota Etios Cross,Toyota Etios Cross 1.2L G,18,919DE172DBA94A9FC5BC074D96381790,Toyota Etios Cross 1.2L G,4.99 Lakh,,"38,982",2015,Thane,Thane,1,Thane (reg),1,1197,Hatchback,No Insurance,Dealer,0,220534,0,0,Petrol,Manual,Not Informed,499000,https://images10.gaadicdn.com/usedcar_image/320x240/VCC_978426_24_1607344018.jpg,/used-car-details/used-Toyota-Etios-Cross-1.2L-G-cars-Thane_919DE172DBA94A9FC5BC074D96381790.htm,931,Dec 26,1,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/VCC_978426_24_1607344018.webp,0
2905362,Honda,Honda Amaze 2013-2016,Honda Amaze 2013-2016 VX i-Vtech,14,0D4FF37AEEE803E6170419772410EBDE,Honda Amaze VX i-Vtech,4.99 Lakh,7.31-10.29 Lakh,"65,445",2015,Thane,Thane,1,Thane (reg),1,1198,Sedans,No Insurance,Dealer,0,220534,0,0,Petrol,Manual,Not Informed,499000,https://images10.gaadicdn.com/usedcar_image/320x240/VCC_979812_24_1607510944.jpg,/used-car-details/used-Honda-Amaze-2013-2016-VX-i-Vtech-cars-Thane_0D4FF37AEEE803E6170419772410EBDE.htm,732,Dec 10,1,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/VCC_979812_24_1607510944.webp,0
2933594,Maruti,Maruti Wagon R,Maruti Wagon R AMT VXI Plus Option,3,E7A79866AC89A0AE02A2C1EC191459CC,Maruti Wagon R AMT VXI Plus Option,4.45 Lakh,5.26-7.02 Lakh,"17,100",2017,Thane,Thane,0,Mumbai (reg),1,998,Hatchback,Comprehensive,Dealer,0,220534,0,0,Petrol,Automatic,,445000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2145901_1609483812.jpg,/used-car-details/used-Maruti-Wagon-R-AMT-VXI-Plus-Option-cars-Thane_E7A79866AC89A0AE02A2C1EC191459CC.htm,138,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2145901_1609483812.webp,0
2939971,Maruti,Maruti Wagon R,Maruti Wagon R LXI CNG Avance Edition,13,E30BE251A67F24D58CDE02069F2E0842,Maruti Wagon R LXI CNG Avance Edition,5.15 Lakh,5.96-6.03 Lakh,"22,000",2019,Thane,Thane West,0,Thane (reg),1,998,Hatchback,Comprehensive,Dealer,0,209860,0,0,CNG,Manual,,515000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2143245_1609225225.jpg,/used-car-details/used-Maruti-Wagon-R-LXI-CNG-Avance-Edition-cars-Thane_E30BE251A67F24D58CDE02069F2E0842.htm,99,Jan 06,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2143245_1609225225.webp,0
2941199,Hyundai,Hyundai Verna 2016-2017,Hyundai Verna 2016-2017 1.6 SX VTVT,19,41E24458AB5CB0C93DEFDCDCEF2A4F2D,Hyundai Verna 1.6 SX VTVT,4.85 Lakh,10.63-16.66 Lakh,"19,500",2013,Thane,Thane West,0,Mumbai (reg),1,1591,Sedans,Comprehensive,Dealer,0,184853,0,0,Petrol,Manual,,485000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2150963_1610003445.jpg,/used-car-details/used-Hyundai-Verna-2016-2017-1.6-SX-VTVT-cars-Thane_41E24458AB5CB0C93DEFDCDCEF2A4F2D.htm,26,Jan 07,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2150963_1610003445.webp,0
2928449,Maruti,Maruti Celerio 2014-2017,Maruti Celerio 2014-2017 Green VXI,16,C4516AE204A4960F7203F0B889E55037,Maruti Celerio Green VXI,4.25 Lakh,6.34-6.42 Lakh,"48,129",2016,Thane,Thane West,0,Mumbai (reg),1,998,Hatchback,Comprehensive,Dealer,0,204516,0,0,CNG,Manual,,425000,https://images10.gaadicdn.com/usedcar_image/320x240/usedcar_e2ee8287_1ef6_4bc6_93ca_3d5c7b176fd5_2142197_1609072920.jpg,/used-car-details/used-Maruti-Celerio-2014-2017-Green-VXI-cars-Thane_C4516AE204A4960F7203F0B889E55037.htm,297,Jan 02,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/usedcar_e2ee8287_1ef6_4bc6_93ca_3d5c7b176fd5_2142197_1609072920.webp,0
2932821,Skoda,Skoda Octavia,Skoda Octavia 1.8 TSI AT L K,25,CE819B64F73CA70B69B036A977996135,Skoda Octavia 1.8 TSI AT L K,19.49 Lakh,45.69 Lakh,"17,000",2018,Mumbai,Borivali West,0,Mumbai (reg),1,1798,Sedans,Comprehensive,Dealer,0,187195,0,0,Petrol,Automatic,,1949000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2145233_1609404270.jpg,/used-car-details/used-Skoda-Octavia-1.8-TSI-AT-L-K-cars-Mumbai_CE819B64F73CA70B69B036A977996135.htm,259,Jan 03,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2020/used_car_2145233_1609404270.webp,0
2938835,Jeep,Jeep Compass,Jeep Compass Black Pack Edition,17,403858A8030E76BE0AC54BC03F2FD418,Jeep Compass Black Pack Edition,15.12 Lakh,19.60-26.16 Lakh,"17,485",2017,Mumbai,Matunga West,0,Aurangabad (reg),1,1368,Sport Utilities,Comprehensive,Dealer,0,187024,0,0,Petrol,Automatic,,1512000,https://images10.gaadicdn.com/usedcar_image/320x240/used_car_2149190_1609835651.jpg,/used-car-details/used-Jeep-Compass-Black-Pack-Edition-cars-Mumbai_403858A8030E76BE0AC54BC03F2FD418.htm,330,Jan 05,0,https://images10.gaadicdn.com/usedcar_image/320x240webp/2021/used_car_2149190_1609835651.webp,0
